queueId,questionNumber,questionText,subject,grade,topic,subtopic,learningObjective,issues,sourceJobId
titd2fd0-sudr3r3-lscra9a2w-q1-mcq-fresh1,Q1,"Choose the correct value for this toy-box clue: the decimal has 7 in the hundredths place, is greater than 0.4, less than 0.5, and is read as forty-seven hundredths. Which decimal fits all the clues?",Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The item is mathematically correct and clear, but the cognitive demand does not match hard difficulty. | It is solved by directly translating 'forty-seven hundredths' and checking simple inequalities, which is not non-trivial multi-step reasoning. | Fix: Relabel this item as medium rather than hard. | Fix: If it must remain hard, add richer reasoning such as evaluating multiple student methods or requiring justification from a number line/model.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q2-mcq-fresh2,Q2,Select the true statement about the decimal 0.30 on a sticker card.,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The mathematics is correct, but the item does not meet the stated hard difficulty. | It is a straightforward equivalence/place-value recognition question without non-trivial multi-step reasoning or a substantive real-world context. | Fix: Change the difficulty level to medium. | Fix: If keeping hard, present competing representations or ask students to analyze and reject multiple misconceptions with evidence.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q4-mcq-fresh3,Q4,Look at the snack labels below. One label was matched to words in the wrong order: 0.64 was written as 6 hundredths and 4 tenths. Choose the best fix.,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The correct answer and explanation are sound, but the task is only a direct place-value error correction. | This does not reach hard difficulty under the provided rules. | Fix: Relabel the item as medium. | Fix: To make it hard, include more than one flawed interpretation and require selecting the complete justification.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q5-mcq-fresh4,Q5,"Choose the method that correctly solves this marble puzzle: the number is read as eighty-two hundredths, and it must be more than 0.8. Which method gives the right decimal and the right reason?",Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The item is conceptually correct, but the reasoning required is still fairly direct. | Choosing 0.82 from 'eighty-two hundredths' and comparing it with 0.8 does not justify a hard label. | Fix: Change the difficulty level to medium. | Fix: For a hard version, require evaluating several methods with subtle errors or using a representation students must interpret.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q6-mcq-fresh5,Q6,Choose the correct result for this sweet-shop clue: one candy jar card says the number has 5 in the tenths place. Another card says the same number is written as fifty-four hundredths. Which decimal matches both cards?,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The item is clear and correct, but it is essentially direct translation of words to decimal. | The task does not meet the non-trivial reasoning expected for hard difficulty. | Fix: Relabel as medium. | Fix: If keeping hard, add a stronger reverse-reasoning component or conflicting clues that must be reconciled.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q7-mcq-fresh6,Q7,Decide which claim about 0.08 and 0.8 is true for the puppy race scoreboard.,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The comparison is mathematically correct and appropriate for grade 4, but the demand is not hard. | Students only need to compare tenths and hundredths directly. | Fix: Change the difficulty level to medium. | Fix: To make it hard, ask students to critique more than one claim or interpret the decimals in a richer context.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q8-mcq-fresh7,Q8,"A treasure map shows four paths. The hidden number is less than 0.7, greater than 0.65, and has 8 in the hundredths place. Choose the path with the correct decimal.",Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The clues are clear and the answer is correct, but the task is a straightforward elimination/checking problem. | It does not satisfy the stated criteria for hard difficulty. | Fix: Relabel as medium. | Fix: If a hard item is needed, add a model, a claim to evaluate, or a less direct constraint structure.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q10-mcq-fresh8,Q10,Choose the equation that correctly builds the decimal named on a robot badge as nine hundredths less than 0.50.,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The arithmetic and explanation are correct, but the item can be solved in one direct subtraction step. | That makes the hard label inappropriate under the review rules. | Fix: Change the difficulty level to medium. | Fix: If keeping hard, require reverse-working from a result or comparing multiple subtraction strategies/errors.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q11-mcq-fresh9,Q11,"Choose the correct value of the decimal on a frog sticker pack. The words say six tenths and three hundredths, but the pack must also be greater than 0.62 and less than 0.64.",Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The item is mathematically sound, but it is still direct translation plus a simple interval check. | This is not enough cognitive demand for hard difficulty. | Fix: Relabel as medium. | Fix: To make it hard, add more nuanced conditions or ask students to determine whether the clues are consistent before choosing.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q12-mcq-fresh10,Q12,Choose the sentence that is correct about the decimal 0.07 on a cookie box.,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The correct option is accurate, but the task is a straightforward place-value comparison. | It falls short of hard difficulty and is closer to medium. | Fix: Change the difficulty level to medium. | Fix: If keeping hard, strengthen the reasoning by asking students to assess multiple justifications or connect to an area/number-line model.",14f48b7c-6601-490a-b700-0a8e5a733934
titd2fd0-sudr3r3-lscra9a2w-q14-mcq-fresh12,Q14,Look at the playground score cards: Card A shows 0.4 and Card B shows 0.39. One card is marked 'greater' because it has fewer digits. Decide which judgment is correct.,Maths,4,Introduction to Decimals,Understanding Decimals,Students can read and write decimals to tenths and hundredths,"[difficulty_mismatch] | The comparison is correct and well explained, but the reasoning required is still a direct decimal comparison. | It does not meet the stated hard difficulty criteria. | Fix: Relabel as medium. | Fix: If a hard label is required, ask students to evaluate multiple comparison arguments or justify using equivalent hundredths with a representation.",14f48b7c-6601-490a-b700-0a8e5a733934
