rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
1,ptg5-topicnsgfpf3-td9cpb-q1-mcq-1,Q1,mcq,Which decimal is greater than 0.4?,Maths,5,Decimals,"Comparing decimals; tenths, hundredths; fraction to decimal.",Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals.,Understanding,easy,1,"MCQ for Decimals: Comparing decimals; tenths, hundredths; fraction to decimal., aligned to Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals..","[{""text"":""0.39"",""correct"":false},{""text"":""0.45"",""correct"":true},{""text"":""0.04"",""correct"":false},{""text"":""0.35"",""correct"":false}]","0.45 is greater than 0.4 because 0.4 can be written as 0.40, and 45 hundredths is more than 40 hundredths. The other options are all less than 0.40.","{""placementTestTopicId"":""number_sense-g5"",""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Decimals"",""subtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""generationTopic"":""Decimals"",""generationSubtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""learning_objective"":""Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals."",""focus"":""Comparing decimals using tenths and hundredths"",""planner"":{""packId"":""number_sense-g5-mcq""}}",5
2,ptg5-topicnsgfpf3-td9cpb-q2-fitb-1,Q2,fitb,The fraction 7/10 written as a decimal is ____.,Maths,5,Decimals,"Comparing decimals; tenths, hundredths; fraction to decimal.",Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals.,Understanding,medium,3,"FITB for Decimals: Comparing decimals; tenths, hundredths; fraction to decimal., aligned to Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals..",[],"A denominator of 10 means tenths. So 7/10 is seven tenths, which is written as 0.7.","{""placementTestTopicId"":""number_sense-g5"",""questionNumber"":""Q2"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":5,""topic"":""Decimals"",""subtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""generationTopic"":""Decimals"",""generationSubtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""learning_objective"":""Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals."",""focus"":""Convert a simple fraction with tenths into a decimal"",""payload"":{""answer"":""0.7"",""acceptableAnswers"":[""0.7"","".7""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""number_sense-g5-fitb""}}",5
3,ptg5-topicnsgfpf3-td9cpb-q3-drag_drop-1,Q3,drag_drop,Drag each card to order the numbers from smallest to largest. Convert fractions to decimals before you compare.,Maths,5,Decimals,"Comparing decimals; tenths, hundredths; fraction to decimal.",Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals.,Analyzing,hard,4,"DRAG_DROP for Decimals: Comparing decimals; tenths, hundredths; fraction to decimal., aligned to Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals..",[],"Convert the fractions first: 3/10 = 0.30 and 7/20 = 0.35. Now compare all the decimals: 0.29, 0.30, 0.305, 0.35, 0.4. So the order from smallest to largest is 0.29, 3/10, 0.305, 7/20, 0.4.","{""placementTestTopicId"":""number_sense-g5"",""questionNumber"":""Q3"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":5,""topic"":""Decimals"",""subtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""generationTopic"":""Decimals"",""generationSubtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""learning_objective"":""Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals."",""focus"":""Ordering decimals and simple fractions by converting fractions to decimals and comparing tenths and hundredths"",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""0.305""},{""id"":""item_2"",""label"":""3/10""},{""id"":""item_3"",""label"":""0.29""},{""id"":""item_4"",""label"":""7/20""},{""id"":""item_5"",""label"":""0.4""}],""targets"":[{""id"":""target_1"",""label"":""1""},{""id"":""target_2"",""label"":""2""},{""id"":""target_3"",""label"":""3""},{""id"":""target_4"",""label"":""4""},{""id"":""target_5"",""label"":""5""}],""answerKey"":[{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_1"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""},{""itemId"":""item_5"",""targetId"":""target_5""}],""labels"":{""start"":""Smallest"",""end"":""Largest"",""instruction"":""Drag each number card into order.""}},""planner"":{""packId"":""number_sense-g5-drag_drop""}}",5
4,ptg4-topicnsgfpf3-td9cpb-q4-mcq-1,Q4,mcq,Which number is greatest?,Maths,4,Decimals,"Comparing decimals; tenths, hundredths; fraction to decimal.","Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100.",Knowing,easy,1,"MCQ for Decimals: Large number comparison, rounding to nearest 10 or 100., aligned to Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100..","[{""text"":""8,360"",""correct"":false},{""text"":""8,406"",""correct"":true},{""text"":""8,046"",""correct"":false},{""text"":""7,999"",""correct"":false}]","8,406 is the greatest because it has 8 thousands, which is more than 8,360, 8,046, and 7,999. A common mistake is to look only at the last digits instead of comparing place value from left to right.","{""placementTestTopicId"":""number_sense-g4"",""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Decimals"",""subtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""generationTopic"":""Decimals"",""generationSubtopic"":""Large number comparison, rounding to nearest 10 or 100."",""learning_objective"":""Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100."",""focus"":""Compare numbers up to 10,000"",""planner"":{""packId"":""number_sense-g4-mcq""}}",5
5,ptg4-topicnsgfpf3-td9cpb-q5-mcq-2,Q5,mcq,Which pair shows the same number rounded correctly to the nearest 10 and to the nearest 100?,Maths,4,Decimals,"Comparing decimals; tenths, hundredths; fraction to decimal.","Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100.",Applying,medium,3,"MCQ for Decimals: Large number comparison, rounding to nearest 10 or 100., aligned to Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100..","[{""text"":""3,462 → 3,460 and 3,500"",""correct"":true},{""text"":""3,462 → 3,470 and 3,400"",""correct"":false},{""text"":""3,462 → 3,460 and 3,400"",""correct"":false},{""text"":""3,462 → 3,470 and 3,500"",""correct"":false}]","3,462 rounds to 3,460 to the nearest 10 because the ones digit is 2, so it rounds down. It rounds to 3,500 to the nearest 100 because the tens digit is 6, so it rounds up. The other options each have at least one incorrect rounding.","{""placementTestTopicId"":""number_sense-g4"",""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Decimals"",""subtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""generationTopic"":""Decimals"",""generationSubtopic"":""Large number comparison, rounding to nearest 10 or 100."",""learning_objective"":""Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100."",""focus"":""Round a number to the nearest 10 and nearest 100"",""planner"":{""packId"":""number_sense-g4-mcq""}}",5
6,ptg5-topicog1ja3-tbmad10pm-q6-mcq-1,Q6,mcq,What is 324 × 12?,Maths,5,Bigger multiplication and division,3-digit x 2-digit multiplication; long division with remainders.,Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems.,Applying,easy,1,"MCQ for Bigger multiplication and division: 3-digit x 2-digit multiplication; long division with remainders., aligned to Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems..","[{""text"":""3888"",""correct"":true},{""text"":""3564"",""correct"":false},{""text"":""3868"",""correct"":false},{""text"":""3242"",""correct"":false}]","The correct answer is 3888 because 324 × 12 = 324 × 10 + 324 × 2 = 3240 + 648 = 3888. A common mistake is adding or multiplying only one part correctly, which can lead to answers like 3564 or 3868.","{""placementTestTopicId"":""operations-g5"",""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Bigger multiplication and division"",""subtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""learning_objective"":""Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems."",""focus"":""Multiply a 3-digit number by a 2-digit number using place value"",""planner"":{""packId"":""operations-g5-mcq""}}",5
7,ptg5-topicog1ja3-tbmad10pm-q7-fitb-1,Q7,fitb,A baker packs 128 buns into boxes of 9. She can fill ____ full boxes.,Maths,5,Bigger multiplication and division,3-digit x 2-digit multiplication; long division with remainders.,Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems.,Applying,medium,3,"FITB for Bigger multiplication and division: 3-digit x 2-digit multiplication; long division with remainders., aligned to Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems..",[],"128 divided by 9 equals 14 remainder 2, because 9 × 14 = 126. So 14 full boxes can be filled.","{""placementTestTopicId"":""operations-g5"",""questionNumber"":""Q7"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":5,""topic"":""Bigger multiplication and division"",""subtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""learning_objective"":""Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems."",""focus"":""Interpreting the quotient in division with remainders"",""payload"":{""answer"":""14"",""acceptableAnswers"":[""14""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""operations-g5-fitb""}}",5
8,ptg5-topicog1ja3-tbmad10pm-q8-drag_drop-1,Q8,drag_drop,Sort each division card into the correct remainder group.,Maths,5,Bigger multiplication and division,3-digit x 2-digit multiplication; long division with remainders.,Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems.,Applying,hard,4,"DRAG_DROP for Bigger multiplication and division: 3-digit x 2-digit multiplication; long division with remainders., aligned to Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems..",[],"Work out each division and look at the remainder. 347 ÷ 9 = 38 remainder 5, 564 ÷ 8 = 70 remainder 4, 725 ÷ 6 = 120 remainder 5, and 918 ÷ 7 = 131 remainder 1. Sort each card by its remainder.","{""placementTestTopicId"":""operations-g5"",""questionNumber"":""Q8"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":5,""topic"":""Bigger multiplication and division"",""subtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""learning_objective"":""Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems."",""focus"":""Interpreting and comparing remainders in long division"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""347 ÷ 9""},{""id"":""item_2"",""label"":""564 ÷ 8""},{""id"":""item_3"",""label"":""725 ÷ 6""},{""id"":""item_4"",""label"":""918 ÷ 7""}],""targets"":[{""id"":""target_1"",""label"":""Remainder 1""},{""id"":""target_2"",""label"":""Remainder 4""},{""id"":""target_3"",""label"":""Remainder 5""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_3""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_1""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each division card to the box with its remainder.""}},""planner"":{""packId"":""operations-g5-drag_drop""}}",5
9,ptg4-topicog1ja3-tbmad10pm-q9-mcq-1,Q9,mcq,What is 34 × 2?,Maths,4,Bigger multiplication and division,3-digit x 2-digit multiplication; long division with remainders.,Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12.,Applying,easy,2,"MCQ for Bigger multiplication and division: 2-digit x 1-digit multiplication; long division; times tables up to 12., aligned to Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12..","[{""text"":""68"",""correct"":true},{""text"":""36"",""correct"":false},{""text"":""64"",""correct"":false},{""text"":""72"",""correct"":false}]","34 × 2 means double 34. Double 30 is 60 and double 4 is 8, so 60 + 8 = 68. The other options come from common mistakes such as adding instead of multiplying or miscalculating the tens and ones.","{""placementTestTopicId"":""operations-g4"",""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Bigger multiplication and division"",""subtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""learning_objective"":""Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12."",""focus"":""2-digit by 1-digit multiplication"",""planner"":{""packId"":""operations-g4-mcq""}}",5
10,ptg4-topicog1ja3-tbmad10pm-q10-mcq-2,Q10,mcq,A school has 84 pencils. They are packed equally into 7 boxes. How many pencils go in each box?,Maths,4,Bigger multiplication and division,3-digit x 2-digit multiplication; long division with remainders.,Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12.,Applying,medium,3,"MCQ for Bigger multiplication and division: 2-digit x 1-digit multiplication; long division; times tables up to 12., aligned to Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12..","[{""text"":""11"",""correct"":false},{""text"":""12"",""correct"":true},{""text"":""13"",""correct"":false},{""text"":""14"",""correct"":false}]","To find how many pencils go in each box, divide 84 by 7. Since 7 × 12 = 84, 84 ÷ 7 = 12. The wrong answers are plausible if a student uses the wrong times-table fact or makes a division error.","{""placementTestTopicId"":""operations-g4"",""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Bigger multiplication and division"",""subtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""learning_objective"":""Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12."",""focus"":""long division using times tables"",""planner"":{""packId"":""operations-g4-mcq""}}",5
