id,question_type,question_text,subject,grade,grade_level,region,topic,subtopic,learning_objective,blooms_level,difficulty_level,difficulty_rating,options,explanation,generation_metadata,created_at,updated_at,rownumber,summary
98501,mcq,"Compare these things: bed, chair, table, lion. Choose the one that is not furniture.",math,,grade kg,global,Sorting & Classification,Matching & Grouping,Students can identify the odd one out from a set of objects,analyze,easy,1.0,"[{""text"":""bed"",""correct"":false},{""text"":""chair"",""correct"":false},{""text"":""table"",""correct"":false},{""text"":""lion"",""correct"":true}]","Super! Bed, chair, and table are furniture. Lion is an animal, so it does not belong.","{""focus"":""odd one out with furniture and an animal"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Matching & Grouping"",""questionType"":""mcq"",""questionNumber"":""Q14"",""learning_objective"":""Students can identify the odd one out from a set of objects""}",2026-05-21T11:11:30.739Z,2026-05-21T11:11:30.837Z,1,mcq for Sorting & Classification
98206,mcq,"Choose the sentence that is correct about this snack set: big cookie, small cookie, tiny cookie.",math,,grade kg,global,Sorting & Classification,Sorting by Attributes,"Students can sort objects by one attribute such as colour, shape, or size",understand,easy,1.0,"[{""text"":""The snacks are sorted by size."",""correct"":true},{""text"":""The snacks are sorted by colour."",""correct"":false},{""text"":""The snacks are sorted by shape."",""correct"":false},{""text"":""The snacks are not sorted."",""correct"":false}]","Yes! Big, small, and tiny tell us the group is sorted by size. Nice job!","{""focus"":""describe sorting rule"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Sorting by Attributes"",""questionType"":""mcq"",""questionNumber"":""Q7"",""learning_objective"":""Students can sort objects by one attribute such as colour, shape, or size""}",2026-05-21T11:11:22.135Z,2026-05-21T11:11:22.260Z,2,mcq for Sorting & Classification
98226,mcq,Choose the group that matches sorting by size for shiny stars.,math,,grade kg,global,Sorting & Classification,Sorting by Attributes,"Students can sort objects by one attribute such as colour, shape, or size",apply,easy,1.0,"[{""text"":""big star, medium star, small star"",""correct"":true},{""text"":""yellow star, yellow star, yellow star"",""correct"":false},{""text"":""star, moon, sun"",""correct"":false},{""text"":""big star, yellow star, small star"",""correct"":false}]","Hooray! Big, medium, and small show the stars are sorted by size.","{""focus"":""match size sort with stars"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Sorting by Attributes"",""questionType"":""mcq"",""questionNumber"":""Q30"",""learning_objective"":""Students can sort objects by one attribute such as colour, shape, or size""}",2026-05-21T11:11:22.596Z,2026-05-21T11:11:22.763Z,3,mcq for Sorting & Classification
98013,mcq,Pick the set of blocks that can be sorted by color first and then sorted again by shape. Choose the set that has at least 2 different colors and at least 2 different shapes.,math,,grade kg,global,Sorting & Classification,Sorting by Attributes,Students can sort the same set of objects in more than one way,apply,medium,2.0,"[{""text"":""blue square, red square, blue circle"",""correct"":true},{""text"":""red square, blue square, green square"",""correct"":false},{""text"":""blue circle, blue square, blue triangle"",""correct"":false},{""text"":""green square, red square, blue square"",""correct"":false}]","To work both ways, the set must have more than one color and more than one shape. The first set has blue and red, and it has squares and a circle, so both sorts work. The second set has different colors but only squares, so shape does not make different groups. The third set has different shapes but only blue, so color does not make different groups. The fourth set has different colors but all the blocks are squares, so shape does not work.","{""focus"":""multi_step_application"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Sorting by Attributes"",""questionType"":""mcq"",""questionNumber"":""Q36"",""learning_objective"":""Students can sort the same set of objects in more than one way""}",2026-05-21T11:11:18.246Z,2026-05-21T11:11:18.421Z,4,mcq for Sorting & Classification
98544,mcq,"At playtime, a toy box should have things you can build with or play with. Pick the group where one thing does not belong: blocks, puzzle, toy car, and pear.",math,,grade kg,global,Sorting & Classification,Matching & Grouping,Students can identify the odd one out from a set of objects,apply,medium,3.0,"[{""text"":""blocks"",""correct"":false},{""text"":""puzzle"",""correct"":false},{""text"":""toy car"",""correct"":false},{""text"":""pear"",""correct"":true}]","Great sorting! Pear is the odd one out because the other three are toys, and pear is food.","{""focus"":""context interpretation with grouping rule"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Matching & Grouping"",""questionType"":""mcq"",""questionNumber"":""Q35"",""learning_objective"":""Students can identify the odd one out from a set of objects""}",2026-05-21T11:11:31.281Z,2026-05-21T11:11:31.379Z,5,mcq for Sorting & Classification
98195,mcq,"A toy basket has red car, red ball, and red kite inside. Outside the basket are blue car, red drum, and yellow ball. The basket follows one rule, and only one outside object was placed in the wrong spot. Which answer correctly tells the rule and the misplaced object?",math,,grade kg,global,Sorting & Classification,Sorting by Attributes,Students can explain the rule used to sort a group of objects,analyze,hard,3.0,"[{""text"":""The rule is red things, so the red drum is the misplaced object."",""correct"":true},{""text"":""The rule is cars and balls, so the blue car is the misplaced object."",""correct"":false},{""text"":""The rule is toys you throw, so the yellow ball is the misplaced object."",""correct"":false},{""text"":""The rule is things used outside, so no object is misplaced."",""correct"":false}]","The inside objects are red car, red ball, and red kite. The clearest rule that fits all three is red things. If that is the rule, the red drum also matches and should be inside, so it is the misplaced object. The rule cars and balls does not work because a kite is inside and is neither a car nor a ball. The rule toys you throw does not clearly fit the car. The rule things used outside is too broad and does not explain why blue car and yellow ball stay out while all red objects are in.","{""focus"":""find_the_error"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Sorting by Attributes"",""questionType"":""mcq"",""questionNumber"":""Q1"",""learning_objective"":""Students can explain the rule used to sort a group of objects""}",2026-05-21T11:11:21.847Z,2026-05-21T11:11:22.136Z,6,mcq for Sorting & Classification
98044,mcq,"A snack tray has a red apple slice, a green apple slice, a red banana slice, and a green banana slice. Which rule is a correct sort by one attribute for all 4 slices?",math,,grade kg,global,Sorting & Classification,Sorting by Attributes,Students can sort the same set of objects in more than one way,analyze,hard,5.0,"[{""text"":""Put the red apple slice with the green banana slice, and the green apple slice with the red banana slice."",""correct"":false},{""text"":""Make one group of apple slices and one group of green slices."",""correct"":false},{""text"":""Make one group of red slices and one group of green slices."",""correct"":true},{""text"":""Put the two apple slices together, and then put the red banana slice by itself and the green banana slice by itself."",""correct"":false}]","A correct sort by one attribute must use just one rule for all 4 slices. Sorting by color works: the red apple slice and red banana slice go in the red group, and the green apple slice and green banana slice go in the green group. Option A mixes color and fruit kind inside each group. Option B uses apples for one group and green for the other, so the rule changes. Option D does not use one single attribute because it groups apples together but leaves bananas split apart.","{""focus"":""find_the_error"",""grade"":""KG"",""topic"":""Sorting & Classification"",""subject"":""Maths"",""subtopic"":""Sorting by Attributes"",""questionType"":""mcq"",""questionNumber"":""Q73"",""learning_objective"":""Students can sort the same set of objects in more than one way""}",2026-05-21T11:11:18.647Z,2026-05-21T11:11:18.759Z,7,mcq for Sorting & Classification
60895,fitb,🍎 🍇 🍌 go together because they are ____.,math,,grade kg,global,Sorting & Classification,Matching & Grouping,Students can group objects that belong together and explain why,understand,easy,1.0,[],"Apple, grapes, and banana belong together because they are fruits.","{""hint"":null,""answer"":""fruits"",""caseSensitive"":false,""acceptableAnswers"":[""fruits"",""fruit""]}",2026-05-21T10:58:53.106Z,2026-05-21T10:58:53.408Z,8,fitb for Sorting & Classification
63074,fitb,"🦁 big, 🐒 big, 🐘 big, 🦓 small. The odd one breaks the ____ rule.",math,,grade kg,global,Sorting & Classification,Sorting by Attributes,Students can explain the rule used to sort a group of objects,analyze,medium,4.0,[],Most of the animals are big. The small zebra does not match the big rule.,"{""hint"":""Look at the size most animals have."",""answer"":""big"",""caseSensitive"":false,""acceptableAnswers"":[""big"",""large""]}",2026-05-21T10:59:38.539Z,2026-05-21T10:59:38.885Z,9,fitb for Sorting & Classification
76691,fitb,⭐ 🚀 ⭐ fits with stars. The odd one is ____.,math,,grade kg,global,Sorting & Classification,Matching & Grouping,Students can match objects that are the same or similar,apply,medium,3.0,[],Two objects are stars. The rocket does not match the star group.,"{""hint"":null,""answer"":""rocket"",""caseSensitive"":false,""acceptableAnswers"":[""rocket"",""🚀""]}",2026-05-21T11:03:40.552Z,2026-05-21T11:03:41.035Z,10,fitb for Sorting & Classification
