rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
1,ptg4-topicnsgfpf3-tnut11w01-q1-mcq-1,Q1,mcq,"Which number rounds to 4,700 when rounded to the nearest 100?",Maths,4,"Numbers up to 10,000","Large number comparison, rounding to nearest 10 or 100.","Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100.",Understanding,easy,1,"MCQ for Numbers up to 10,000: Large number comparison, rounding to nearest 10 or 100., aligned to Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100..","[{""text"":""4,649"",""correct"":false},{""text"":""4,683"",""correct"":true},{""text"":""4,751"",""correct"":false},{""text"":""4,580"",""correct"":false}]","4,683 rounds to 4,700 because it is between 4,600 and 4,700, and the last two digits are 83, so it is closer to 4,700. 4,649 rounds to 4,600, 4,751 rounds to 4,800, and 4,580 rounds to 4,600.","{""placementTestTopicId"":""number_sense-g4"",""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Numbers up to 10,000"",""subtopic"":""Large number comparison, rounding to nearest 10 or 100."",""generationTopic"":""Numbers up to 10,000"",""generationSubtopic"":""Large number comparison, rounding to nearest 10 or 100."",""learning_objective"":""Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100."",""focus"":""Rounding a 4-digit number to the nearest 100"",""planner"":{""packId"":""number_sense-g4-mcq""}}",4
2,ptg4-topicnsgfpf3-tnut11w01-q2-fitb-1,Q2,fitb,"When 6,478 is rounded to the nearest 100, it becomes ____.",Maths,4,"Numbers up to 10,000","Large number comparison, rounding to nearest 10 or 100.","Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100.",Applying,medium,3,"FITB for Numbers up to 10,000: Large number comparison, rounding to nearest 10 or 100., aligned to Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100..",[],"To round 6,478 to the nearest 100, look at the tens digit. The tens digit is 7, so round up from 6,400 to 6,500.","{""placementTestTopicId"":""number_sense-g4"",""questionNumber"":""Q2"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":4,""topic"":""Numbers up to 10,000"",""subtopic"":""Large number comparison, rounding to nearest 10 or 100."",""generationTopic"":""Numbers up to 10,000"",""generationSubtopic"":""Large number comparison, rounding to nearest 10 or 100."",""learning_objective"":""Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100."",""focus"":""Rounding a 4-digit number to the nearest 100"",""payload"":{""answer"":""6500"",""acceptableAnswers"":[""6500"",""6,500""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""number_sense-g4-fitb""}}",4
3,ptg4-topicnsgfpf3-tnut11w01-q3-drag_drop-1,Q3,drag_drop,Sort each number card by what it rounds to. Round to the nearest 10 or nearest 100 as shown on the boxes.,Maths,4,"Numbers up to 10,000","Large number comparison, rounding to nearest 10 or 100.","Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100.",Analyzing,hard,4,"DRAG_DROP for Numbers up to 10,000: Large number comparison, rounding to nearest 10 or 100., aligned to Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100..",[],"Round each card using the rule written in its label. 3,649 to the nearest 10 is 3,650. 7,451 to the nearest 100 is 7,500. 8,994 to the nearest 10 is 8,990. 2,550 to the nearest 100 is 2,600 because 50 rounds up. 6,205 to the nearest 10 is 6,210 because 5 rounds up.","{""placementTestTopicId"":""number_sense-g4"",""questionNumber"":""Q3"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":4,""topic"":""Numbers up to 10,000"",""subtopic"":""Large number comparison, rounding to nearest 10 or 100."",""generationTopic"":""Numbers up to 10,000"",""generationSubtopic"":""Large number comparison, rounding to nearest 10 or 100."",""learning_objective"":""Students can compare numbers up to 10,000. Students can round numbers to the nearest 10. Students can round numbers to the nearest 100."",""focus"":""Rounding numbers up to 10,000 to the nearest 10 and nearest 100 using mixed rules"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""3,649 → nearest 10""},{""id"":""item_2"",""label"":""7,451 → nearest 100""},{""id"":""item_3"",""label"":""8,994 → nearest 10""},{""id"":""item_4"",""label"":""2,550 → nearest 100""},{""id"":""item_5"",""label"":""6,205 → nearest 10""}],""targets"":[{""id"":""target_1"",""label"":""3,650""},{""id"":""target_2"",""label"":""7,500""},{""id"":""target_3"",""label"":""8,990""},{""id"":""target_4"",""label"":""2,600""},{""id"":""target_5"",""label"":""6,210""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""},{""itemId"":""item_5"",""targetId"":""target_5""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each number card to the box showing its rounded value.""}},""planner"":{""packId"":""number_sense-g4-drag_drop""}}",4
4,ptg3-topicnsgfpf3-tnut11gln-q4-mcq-1,Q4,mcq,Which number is the greatest?,Maths,3,"Numbers up to 10,000","Large number comparison, rounding to nearest 10 or 100.","Students can read 3-digit numbers up to 1,000. Students can compare 3-digit numbers. Students can order 3-digit numbers.",Knowing,easy,1,"MCQ for Numbers up to 1,000: Reading, comparing and ordering 3-digit numbers., aligned to Students can read 3-digit numbers up to 1,000. Students can compare 3-digit numbers. Students can order 3-digit numbers..","[{""text"":""572"",""correct"":false},{""text"":""625"",""correct"":false},{""text"":""725"",""correct"":true},{""text"":""482"",""correct"":false}]","725 is the greatest number because it has 7 hundreds, which is more than 6 hundreds, 5 hundreds, or 4 hundreds in the other choices.","{""placementTestTopicId"":""number_sense-g3"",""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":3,""topic"":""Numbers up to 10,000"",""subtopic"":""Large number comparison, rounding to nearest 10 or 100."",""generationTopic"":""Numbers up to 1,000"",""generationSubtopic"":""Reading, comparing and ordering 3-digit numbers."",""learning_objective"":""Students can read 3-digit numbers up to 1,000. Students can compare 3-digit numbers. Students can order 3-digit numbers."",""focus"":""Comparing 3-digit numbers"",""planner"":{""packId"":""number_sense-g3-mcq""}}",4
5,ptg3-topicnsgfpf3-tnut11gln-q5-mcq-2,Q5,mcq,"Which list shows these numbers in order from smallest to greatest: 408, 480, 418?",Maths,3,"Numbers up to 10,000","Large number comparison, rounding to nearest 10 or 100.","Students can read 3-digit numbers up to 1,000. Students can compare 3-digit numbers. Students can order 3-digit numbers.",Applying,medium,3,"MCQ for Numbers up to 1,000: Reading, comparing and ordering 3-digit numbers., aligned to Students can read 3-digit numbers up to 1,000. Students can compare 3-digit numbers. Students can order 3-digit numbers..","[{""text"":""408, 418, 480"",""correct"":true},{""text"":""418, 408, 480"",""correct"":false},{""text"":""480, 418, 408"",""correct"":false},{""text"":""408, 480, 418"",""correct"":false}]","The correct order is 408, 418, 480. First compare the tens digits: 408 has 0 tens, so it is smallest. Then 418 has 1 ten, so it comes before 480, which has 8 tens. A common mistake is to place 480 before 418 just because both start with 4.","{""placementTestTopicId"":""number_sense-g3"",""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":3,""topic"":""Numbers up to 10,000"",""subtopic"":""Large number comparison, rounding to nearest 10 or 100."",""generationTopic"":""Numbers up to 1,000"",""generationSubtopic"":""Reading, comparing and ordering 3-digit numbers."",""learning_objective"":""Students can read 3-digit numbers up to 1,000. Students can compare 3-digit numbers. Students can order 3-digit numbers."",""focus"":""Ordering 3-digit numbers"",""planner"":{""packId"":""number_sense-g3-mcq""}}",4
6,ptg4-topicog1ja3-tmadlen0-q6-mcq-1,Q6,mcq,What is 34 × 2?,Maths,4,Multiplication and Division,2-digit x 1-digit multiplication; long division; times tables up to 12.,Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12.,Applying,easy,1,"MCQ for Multiplication and Division: 2-digit x 1-digit multiplication; long division; times tables up to 12., aligned to Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12..","[{""text"":""68"",""correct"":true},{""text"":""64"",""correct"":false},{""text"":""72"",""correct"":false},{""text"":""36"",""correct"":false}]","The correct answer is 68 because 34 × 2 means 34 + 34, which equals 68. A common mistake is adding only the digits, such as 3 + 4 + 2, or mixing up place value.","{""placementTestTopicId"":""operations-g4"",""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Multiplication and Division"",""subtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""generationTopic"":""Multiplication and Division"",""generationSubtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""learning_objective"":""Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12."",""focus"":""2-digit by 1-digit multiplication"",""planner"":{""packId"":""operations-g4-mcq""}}",4
7,ptg4-topicog1ja3-tmadlen0-q7-fitb-1,Q7,fitb,There are 8 rows of 12 chairs in a hall. The total number of chairs is ____.,Maths,4,Multiplication and Division,2-digit x 1-digit multiplication; long division; times tables up to 12.,Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12.,Applying,medium,3,"FITB for Multiplication and Division: 2-digit x 1-digit multiplication; long division; times tables up to 12., aligned to Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12..",[],Multiply the number of rows by the number of chairs in each row: 8 × 12 = 96.,"{""placementTestTopicId"":""operations-g4"",""questionNumber"":""Q7"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":4,""topic"":""Multiplication and Division"",""subtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""generationTopic"":""Multiplication and Division"",""generationSubtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""learning_objective"":""Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12."",""focus"":""Use times tables up to 12 to find a total in equal groups"",""payload"":{""answer"":""96"",""acceptableAnswers"":[""96""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""operations-g4-fitb""}}",4
8,ptg4-topicog1ja3-tmadlen0-q8-drag_drop-1,Q8,drag_drop,Sort each card into the box with its correct value.,Maths,4,Multiplication and Division,2-digit x 1-digit multiplication; long division; times tables up to 12.,Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12.,Applying,hard,4,"DRAG_DROP for Multiplication and Division: 2-digit x 1-digit multiplication; long division; times tables up to 12., aligned to Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12..",[],"Work out each expression, then place it in the box with the matching number. 36 ÷ 4 = 9, 27 ÷ 3 = 9, 14 × 3 = 42, 48 ÷ 4 = 12, and 23 × 2 = 46.","{""placementTestTopicId"":""operations-g4"",""questionNumber"":""Q8"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":4,""topic"":""Multiplication and Division"",""subtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""generationTopic"":""Multiplication and Division"",""generationSubtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""learning_objective"":""Students can multiply a 2-digit number by a 1-digit number. Students can solve long division problems. Students can use times tables up to 12."",""focus"":""Match multiplication and division expressions to their values using times tables and multi-step calculation."",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""36 ÷ 4""},{""id"":""item_2"",""label"":""14 × 3""},{""id"":""item_3"",""label"":""27 ÷ 3""},{""id"":""item_4"",""label"":""23 × 2""},{""id"":""item_5"",""label"":""48 ÷ 4""}],""targets"":[{""id"":""target_1"",""label"":""9""},{""id"":""target_2"",""label"":""12""},{""id"":""target_3"",""label"":""42""},{""id"":""target_4"",""label"":""46""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_3""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_4""},{""itemId"":""item_5"",""targetId"":""target_2""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each expression to its value.""}},""planner"":{""packId"":""operations-g4-drag_drop""}}",4
9,ptg3-topicog1ja3-taashik1-q9-mcq-1,Q9,mcq,What is 247 + 185?,Maths,3,Multiplication and Division,2-digit x 1-digit multiplication; long division; times tables up to 12.,Students can solve 3-digit addition problems with carrying. Students can solve 3-digit subtraction problems. Students can recognize multiplication as repeated addition.,Applying,easy,2,"MCQ for Addition and Subtraction: 3-digit sums with carrying; first look at multiplication., aligned to Students can solve 3-digit addition problems with carrying. Students can solve 3-digit subtraction problems. Students can recognize multiplication as repeated addition..","[{""text"":""432"",""correct"":true},{""text"":""422"",""correct"":false},{""text"":""431"",""correct"":false},{""text"":""442"",""correct"":false}]","The correct sum is 432. Add ones: 7 + 5 = 12, write 2 and carry 1. Add tens: 4 + 8 + 1 = 13, write 3 and carry 1. Add hundreds: 2 + 1 + 1 = 4. A common mistake is forgetting to carry, which can lead to wrong answers like 422 or 422.","{""placementTestTopicId"":""operations-g3"",""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":3,""topic"":""Multiplication and Division"",""subtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""generationTopic"":""Addition and Subtraction"",""generationSubtopic"":""3-digit sums with carrying; first look at multiplication."",""learning_objective"":""Students can solve 3-digit addition problems with carrying. Students can solve 3-digit subtraction problems. Students can recognize multiplication as repeated addition."",""focus"":""3-digit addition with carrying"",""planner"":{""packId"":""operations-g3-mcq""}}",4
10,ptg3-topicog1ja3-taashik1-q10-mcq-2,Q10,mcq,Which addition sentence shows 4 groups of 3?,Maths,3,Multiplication and Division,2-digit x 1-digit multiplication; long division; times tables up to 12.,Students can solve 3-digit addition problems with carrying. Students can solve 3-digit subtraction problems. Students can recognize multiplication as repeated addition.,Understanding,medium,3,"MCQ for Addition and Subtraction: 3-digit sums with carrying; first look at multiplication., aligned to Students can solve 3-digit addition problems with carrying. Students can solve 3-digit subtraction problems. Students can recognize multiplication as repeated addition..","[{""text"":""3 + 3 + 3 + 3"",""correct"":true},{""text"":""4 + 4 + 4"",""correct"":false},{""text"":""3 + 4 + 3 + 4"",""correct"":false},{""text"":""4 + 3 + 3"",""correct"":false}]","The correct answer is 3 + 3 + 3 + 3 because 4 groups of 3 means adding 3 four times. A common mistake is choosing 4 + 4 + 4, which shows 3 groups of 4, not 4 groups of 3.","{""placementTestTopicId"":""operations-g3"",""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":3,""topic"":""Multiplication and Division"",""subtopic"":""2-digit x 1-digit multiplication; long division; times tables up to 12."",""generationTopic"":""Addition and Subtraction"",""generationSubtopic"":""3-digit sums with carrying; first look at multiplication."",""learning_objective"":""Students can solve 3-digit addition problems with carrying. Students can solve 3-digit subtraction problems. Students can recognize multiplication as repeated addition."",""focus"":""multiplication as repeated addition"",""planner"":{""packId"":""operations-g3-mcq""}}",4
