rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
1,ptg8-topicnsgfpf3-tpavlx7ys-q1-mcq-1,Q1,mcq,Which number is written in short form as 4 × 10^6?,Maths,8,Powers and very large numbers,"Squares, cubes, roots; writing large numbers in short form.","Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation.",Understanding,easy,1,"MCQ for Powers and very large numbers: Squares, cubes, roots; writing large numbers in short form., aligned to Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation..","[{""text"":""4,000,000"",""correct"":true},{""text"":""400,000"",""correct"":false},{""text"":""40,000,000"",""correct"":false},{""text"":""4,000"",""correct"":false}]","10^6 means 1,000,000, so 4 × 10^6 = 4,000,000. A common mistake is to count the zeros incorrectly and choose 400,000 or 40,000,000 instead.","{""placementTestTopicId"":""number_sense-g8"",""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":8,""topic"":""Powers and very large numbers"",""subtopic"":""Squares, cubes, roots; writing large numbers in short form."",""generationTopic"":""Powers and very large numbers"",""generationSubtopic"":""Squares, cubes, roots; writing large numbers in short form."",""learning_objective"":""Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation."",""focus"":""writing very large numbers in powers of 10 form"",""planner"":{""packId"":""number_sense-g8-mcq""}}",8
2,ptg8-topicnsgfpf3-tpavlx7ys-q2-fitb-1,Q2,fitb,"The short form of 7,000,000 is 7 × 10^____.",Maths,8,Powers and very large numbers,"Squares, cubes, roots; writing large numbers in short form.","Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation.",Applying,medium,3,"FITB for Powers and very large numbers: Squares, cubes, roots; writing large numbers in short form., aligned to Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation..",[],"7,000,000 has 6 zeros, so it can be written as 7 × 10^6.","{""placementTestTopicId"":""number_sense-g8"",""questionNumber"":""Q2"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":8,""topic"":""Powers and very large numbers"",""subtopic"":""Squares, cubes, roots; writing large numbers in short form."",""generationTopic"":""Powers and very large numbers"",""generationSubtopic"":""Squares, cubes, roots; writing large numbers in short form."",""learning_objective"":""Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation."",""focus"":""writing very large numbers in power-of-10 short form"",""payload"":{""answer"":""6"",""acceptableAnswers"":[""6""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""number_sense-g8-fitb""}}",8
3,ptg8-topicnsgfpf3-tpavlx7ys-q3-drag_drop-1,Q3,drag_drop,Sort each expression into the correct value category.,Maths,8,Powers and very large numbers,"Squares, cubes, roots; writing large numbers in short form.","Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation.",Analyzing,hard,4,"DRAG_DROP for Powers and very large numbers: Squares, cubes, roots; writing large numbers in short form., aligned to Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation..",[],"Evaluate each card, then match it to its value. Since 10^6 = 1,000,000 and √1000000 = 1000, both belong together. Also, 25^2 = 625 and ∛125 = 5. This checks understanding of squares, cubes, roots, and powers of 10 in short-form notation.","{""placementTestTopicId"":""number_sense-g8"",""questionNumber"":""Q3"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":8,""topic"":""Powers and very large numbers"",""subtopic"":""Squares, cubes, roots; writing large numbers in short form."",""generationTopic"":""Powers and very large numbers"",""generationSubtopic"":""Squares, cubes, roots; writing large numbers in short form."",""learning_objective"":""Students can work with squares, cubes, and roots. Students can write very large numbers in short form. Students can interpret powers in large-number notation."",""focus"":""Matching powers, roots, and short-form large-number expressions to equivalent values"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""25^2""},{""id"":""item_2"",""label"":""∛125""},{""id"":""item_3"",""label"":""10^6""},{""id"":""item_4"",""label"":""√1000000""}],""targets"":[{""id"":""target_1"",""label"":""625""},{""id"":""target_2"",""label"":""5""},{""id"":""target_3"",""label"":""1,000,000""},{""id"":""target_4"",""label"":""1000""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each expression to its matching value.""}},""planner"":{""packId"":""number_sense-g8-drag_drop""}}",8
4,ptg7-topicnsgfpf3-tpasr1k94-q4-mcq-1,Q4,mcq,Which number is the square root of 144?,Maths,7,Powers and very large numbers,"Squares, cubes, roots; writing large numbers in short form.",Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas.,Knowing,easy,1,"MCQ for Powers and square roots: Squaring and cubing numbers; finding square roots., aligned to Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas..","[{""text"":""10"",""correct"":false},{""text"":""11"",""correct"":false},{""text"":""12"",""correct"":true},{""text"":""14"",""correct"":false}]","The square root of 144 is 12 because 12 × 12 = 144. A common mistake is to choose 72 by halving 144, but square roots are not found by dividing by 2.","{""placementTestTopicId"":""number_sense-g7"",""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Powers and very large numbers"",""subtopic"":""Squares, cubes, roots; writing large numbers in short form."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Squaring and cubing numbers; finding square roots."",""learning_objective"":""Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas."",""focus"":""finding square roots of perfect squares"",""planner"":{""packId"":""number_sense-g7-mcq""}}",8
5,ptg7-topicnsgfpf3-tpasr1k94-q5-mcq-2,Q5,mcq,"Which statement is true about the numbers 5, 25, and 125?",Maths,7,Powers and very large numbers,"Squares, cubes, roots; writing large numbers in short form.",Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas.,Understanding,medium,3,"MCQ for Powers and square roots: Squaring and cubing numbers; finding square roots., aligned to Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas..","[{""text"":""25 = 5² and 125 = 5³"",""correct"":true},{""text"":""25 = 5³ and 125 = 5²"",""correct"":false},{""text"":""√25 = 125"",""correct"":false},{""text"":""√125 = 5"",""correct"":false}]","The true statement is that 25 = 5² and 125 = 5³. This connects squaring and cubing to the same base, 5. The other choices mix up square roots and powers, for example 125 is not 5² and the square root of 25 is 5, not 125.","{""placementTestTopicId"":""number_sense-g7"",""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Powers and very large numbers"",""subtopic"":""Squares, cubes, roots; writing large numbers in short form."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Squaring and cubing numbers; finding square roots."",""learning_objective"":""Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas."",""focus"":""connecting powers and roots as inverse ideas"",""planner"":{""packId"":""number_sense-g7-mcq""}}",8
6,ptg8-topicog1ja3-tsegxz6-q6-mcq-1,Q6,mcq,Which value of x makes the equation 2x + 3 = 11 true?,Maths,8,Solving equations,Finding x when 2x + 3 = 11; substituting values.,Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions.,Applying,easy,1,"MCQ for Solving equations: Finding x when 2x + 3 = 11; substituting values., aligned to Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions..","[{""text"":""x = 4"",""correct"":true},{""text"":""x = 5"",""correct"":false},{""text"":""x = 7"",""correct"":false},{""text"":""x = 11"",""correct"":false}]","The correct value is x = 4 because 2(4) + 3 = 8 + 3 = 11. A common mistake is forgetting to subtract 3 first or dividing incorrectly, which can lead to choices like 5 or 7.","{""placementTestTopicId"":""operations-g8"",""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":8,""topic"":""Solving equations"",""subtopic"":""Finding x when 2x + 3 = 11; substituting values."",""generationTopic"":""Solving equations"",""generationSubtopic"":""Finding x when 2x + 3 = 11; substituting values."",""learning_objective"":""Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions."",""focus"":""Solve a one-step linear equation and verify the value by substitution."",""planner"":{""packId"":""operations-g8-mcq""}}",8
7,ptg8-topicog1ja3-tsegxz6-q7-fitb-1,Q7,fitb,"If 2x + 3 = 11, then the value of x is ____.",Maths,8,Solving equations,Finding x when 2x + 3 = 11; substituting values.,Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions.,Applying,medium,2,"FITB for Solving equations: Finding x when 2x + 3 = 11; substituting values., aligned to Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions..",[],"Subtract 3 from both sides to get 2x = 8. Then divide both sides by 2, so x = 4.","{""placementTestTopicId"":""operations-g8"",""questionNumber"":""Q7"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":8,""topic"":""Solving equations"",""subtopic"":""Finding x when 2x + 3 = 11; substituting values."",""generationTopic"":""Solving equations"",""generationSubtopic"":""Finding x when 2x + 3 = 11; substituting values."",""learning_objective"":""Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions."",""focus"":""Solve for the unknown value in a one-step linear equation"",""payload"":{""answer"":""4"",""acceptableAnswers"":[""4""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""operations-g8-fitb""}}",8
8,ptg8-topicog1ja3-tsegxz6-q8-drag_drop-1,Q8,drag_drop,Sort each card into the correct value of the expression when x solves 2x + 3 = 11.,Maths,8,Solving equations,Finding x when 2x + 3 = 11; substituting values.,Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions.,Applying,hard,4,"DRAG_DROP for Solving equations: Finding x when 2x + 3 = 11; substituting values., aligned to Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions..",[],"First solve 2x + 3 = 11. Subtract 3 from both sides to get 2x = 8, then divide by 2 to get x = 4. Now substitute x = 4 into each expression: x + 1 = 5, 3x = 12, x - 2 = 2, and 2x + 1 = 9.","{""placementTestTopicId"":""operations-g8"",""questionNumber"":""Q8"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":8,""topic"":""Solving equations"",""subtopic"":""Finding x when 2x + 3 = 11; substituting values."",""generationTopic"":""Solving equations"",""generationSubtopic"":""Finding x when 2x + 3 = 11; substituting values."",""learning_objective"":""Students can solve simple linear equations. Students can find an unknown value such as x in an equation. Students can substitute values into algebraic expressions."",""focus"":""Solve for x, then substitute into expressions"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""x + 1""},{""id"":""item_2"",""label"":""3x""},{""id"":""item_3"",""label"":""x - 2""},{""id"":""item_4"",""label"":""2x + 1""}],""targets"":[{""id"":""target_1"",""label"":""2""},{""id"":""target_2"",""label"":""5""},{""id"":""target_3"",""label"":""9""},{""id"":""target_4"",""label"":""12""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_2"",""targetId"":""target_4""},{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_4"",""targetId"":""target_3""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each expression to its value.""}},""planner"":{""packId"":""operations-g8-drag_drop""}}",8
9,ptg7-topicog1ja3-tnnab1tf9-q9-mcq-1,Q9,mcq,What is the value of (-6) × (-4)?,Maths,7,Solving equations,Finding x when 2x + 3 = 11; substituting values.,Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra.,Knowing,easy,1,"MCQ for Negative numbers and basic algebra: Multiplying negatives; simplifying expressions like 3x + 2x., aligned to Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra..","[{""text"":""24"",""correct"":true},{""text"":""-24"",""correct"":false},{""text"":""10"",""correct"":false},{""text"":""-10"",""correct"":false}]","A negative times a negative gives a positive, so (-6) × (-4) = 24. A common mistake is choosing -24 by forgetting that the product of two negatives is positive.","{""placementTestTopicId"":""operations-g7"",""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Solving equations"",""subtopic"":""Finding x when 2x + 3 = 11; substituting values."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""learning_objective"":""Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra."",""focus"":""Multiply two negative integers"",""planner"":{""packId"":""operations-g7-mcq""}}",8
10,ptg7-topicog1ja3-tnnab1tf9-q10-mcq-2,Q10,mcq,Which expression is equivalent to 3x + 2x - 4?,Maths,7,Solving equations,Finding x when 2x + 3 = 11; substituting values.,Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra.,Applying,medium,3,"MCQ for Negative numbers and basic algebra: Multiplying negatives; simplifying expressions like 3x + 2x., aligned to Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra..","[{""text"":""5x - 4"",""correct"":true},{""text"":""5x"",""correct"":false},{""text"":""x - 4"",""correct"":false},{""text"":""6x - 4"",""correct"":false}]","The like terms 3x and 2x combine to make 5x, so the expression simplifies to 5x - 4. A common mistake is to combine x-terms and constants incorrectly, such as writing 5x or x - 4.","{""placementTestTopicId"":""operations-g7"",""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Solving equations"",""subtopic"":""Finding x when 2x + 3 = 11; substituting values."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""learning_objective"":""Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra."",""focus"":""Simplify like terms in an algebraic expression"",""planner"":{""packId"":""operations-g7-mcq""}}",8
